,Year,Month,Day,Date In Fraction Of Year,Number of Sunspots,Standard Deviation,Observations,Indicator
124,1818,5,5,1818.3410000000001,20,5.7,1,1
125,1818,5,6,1818.344,72,10.7,1,1
126,1818,5,7,1818.3470000000002,-1,-1.0,0,1
127,1818,5,8,1818.349,40,8.0,1,1
128,1818,5,9,1818.352,60,9.8,1,1
129,1818,5,10,1818.355,62,9.9,1,1
130,1818,5,11,1818.358,47,8.7,1,1
131,1818,5,12,1818.36,50,9.0,1,1
132,1818,5,13,1818.3629999999998,53,9.3,1,1
133,1818,5,14,1818.366,55,9.4,1,1
134,1818,5,15,1818.368,75,11.0,1,1
135,1818,5,16,1818.371,-1,-1.0,0,1
136,1818,5,17,1818.374,-1,-1.0,0,1
137,1818,5,18,1818.3770000000002,-1,-1.0,0,1
138,1818,5,19,1818.379,103,12.9,1,1
139,1818,5,20,1818.382,73,10.8,1,1
140,1818,5,21,1818.385,-1,-1.0,0,1
141,1818,5,22,1818.388,53,9.3,1,1
142,1818,5,23,1818.39,78,11.2,1,1
143,1818,5,24,1818.3929999999998,67,10.3,1,1
144,1818,5,25,1818.396,125,14.2,1,1
145,1818,5,26,1818.399,132,14.5,1,1
146,1818,5,27,1818.401,125,14.2,1,1
147,1818,5,28,1818.404,198,17.8,1,1
148,1818,5,29,1818.4070000000002,202,18.0,1,1
149,1818,5,30,1818.41,167,16.4,1,1
150,1818,5,31,1818.412,132,14.5,1,1
151,1818,6,1,1818.415,125,14.2,1,1
152,1818,6,2,1818.418,100,12.7,1,1
153,1818,6,3,1818.421,85,11.7,1,1
154,1818,6,4,1818.4229999999998,87,11.8,1,1
155,1818,6,5,1818.4260000000002,53,9.3,1,1
156,1818,6,6,1818.4289999999999,42,8.2,1,1
157,1818,6,7,1818.432,17,5.2,1,1
158,1818,6,8,1818.434,35,7.5,1,1
159,1818,6,9,1818.4370000000001,33,7.3,1,1
160,1818,6,10,1818.44,37,7.7,1,1
161,1818,6,11,1818.442,-1,-1.0,0,1
162,1818,6,12,1818.445,-1,-1.0,0,1
163,1818,6,13,1818.4479999999999,-1,-1.0,0,1
164,1818,6,14,1818.451,17,5.2,1,1
165,1818,6,15,1818.453,17,5.2,1,1
166,1818,6,16,1818.4560000000001,17,5.2,1,1
167,1818,6,17,1818.4589999999998,-1,-1.0,0,1
168,1818,6,18,1818.4620000000002,28,6.7,1,1
169,1818,6,19,1818.464,67,10.3,1,1
170,1818,6,20,1818.467,67,10.3,1,1
171,1818,6,21,1818.47,90,12.0,1,1
172,1818,6,22,1818.473,83,11.6,1,1
173,1818,6,23,1818.475,70,10.6,1,1
174,1818,6,24,1818.4779999999998,52,9.1,1,1
175,1818,6,25,1818.481,-1,-1.0,0,1
176,1818,6,26,1818.484,65,10.2,1,1
177,1818,6,27,1818.486,73,10.8,1,1
178,1818,6,28,1818.489,75,11.0,1,1
179,1818,6,29,1818.4920000000002,97,12.5,1,1
180,1818,6,30,1818.495,88,11.9,1,1
181,1818,7,1,1818.497,57,9.5,1,1
182,1818,7,2,1818.5,18,5.4,1,1
183,1818,7,3,1818.503,22,5.9,1,1
184,1818,7,4,1818.505,57,9.5,1,1
185,1818,7,5,1818.5079999999998,72,10.7,1,1
186,1818,7,6,1818.511,-1,-1.0,0,1
187,1818,7,7,1818.514,35,7.5,1,1
188,1818,7,8,1818.516,25,6.3,1,1
189,1818,7,9,1818.519,20,5.7,1,1
190,1818,7,10,1818.5220000000002,33,7.3,1,1
191,1818,7,11,1818.525,45,8.5,1,1
192,1818,7,12,1818.527,-1,-1.0,0,1
193,1818,7,13,1818.53,-1,-1.0,0,1
194,1818,7,14,1818.533,58,9.7,1,1
195,1818,7,15,1818.536,53,9.3,1,1
196,1818,7,16,1818.5379999999998,-1,-1.0,0,1
197,1818,7,17,1818.5410000000002,37,7.7,1,1
198,1818,7,18,1818.5439999999999,42,8.2,1,1
199,1818,7,19,1818.547,-1,-1.0,0,1
200,1818,7,20,1818.549,27,6.5,1,1
201,1818,7,21,1818.5520000000001,-1,-1.0,0,1
202,1818,7,22,1818.555,-1,-1.0,0,1
203,1818,7,23,1818.558,52,9.1,1,1
204,1818,7,24,1818.56,77,11.1,1,1
205,1818,7,25,1818.5629999999999,-1,-1.0,0,1
206,1818,7,26,1818.566,63,10.1,1,1
207,1818,7,27,1818.568,87,11.8,1,1
208,1818,7,28,1818.5710000000001,50,9.0,1,1
209,1818,7,29,1818.5739999999998,-1,-1.0,0,1
210,1818,7,30,1818.5770000000002,52,9.1,1,1
211,1818,7,31,1818.579,-1,-1.0,0,1
212,1818,8,1,1818.582,-1,-1.0,0,1
213,1818,8,2,1818.585,47,8.7,1,1
214,1818,8,3,1818.588,28,6.7,1,1
215,1818,8,4,1818.59,17,5.2,1,1
216,1818,8,5,1818.5929999999998,17,5.2,1,1
217,1818,8,6,1818.596,22,5.9,1,1
218,1818,8,7,1818.599,32,7.1,1,1
219,1818,8,8,1818.601,63,10.1,1,1
220,1818,8,9,1818.604,58,9.7,1,1
221,1818,8,10,1818.6070000000002,67,10.3,1,1
222,1818,8,11,1818.61,-1,-1.0,0,1
223,1818,8,12,1818.612,70,10.6,1,1
224,1818,8,13,1818.615,73,10.8,1,1
225,1818,8,14,1818.618,-1,-1.0,0,1
226,1818,8,15,1818.621,-1,-1.0,0,1
227,1818,8,16,1818.6229999999998,85,11.7,1,1
228,1818,8,17,1818.626,-1,-1.0,0,1
229,1818,8,18,1818.629,53,9.3,1,1
230,1818,8,19,1818.632,57,9.5,1,1
231,1818,8,20,1818.634,-1,-1.0,0,1
232,1818,8,21,1818.6370000000002,-1,-1.0,0,1
233,1818,8,22,1818.64,60,9.8,1,1
234,1818,8,23,1818.642,87,11.8,1,1
235,1818,8,24,1818.645,-1,-1.0,0,1
236,1818,8,25,1818.648,98,12.6,1,1
237,1818,8,26,1818.651,-1,-1.0,0,1
238,1818,8,27,1818.6529999999998,-1,-1.0,0,1
239,1818,8,28,1818.656,-1,-1.0,0,1
240,1818,8,29,1818.6589999999999,77,11.1,1,1
241,1818,8,30,1818.662,17,5.2,1,1
242,1818,8,31,1818.664,23,6.1,1,1
243,1818,9,1,1818.6670000000001,23,6.1,1,1
244,1818,9,2,1818.67,22,5.9,1,1
245,1818,9,3,1818.6729999999998,40,8.0,1,1
246,1818,9,4,1818.675,25,6.3,1,1
247,1818,9,5,1818.6779999999999,-1,-1.0,0,1
248,1818,9,6,1818.681,-1,-1.0,0,1
249,1818,9,7,1818.684,90,12.0,1,1
250,1818,9,8,1818.6860000000001,87,11.8,1,1
251,1818,9,9,1818.6889999999999,53,9.3,1,1
252,1818,9,10,1818.692,40,8.0,1,1
253,1818,9,11,1818.695,-1,-1.0,0,1
254,1818,9,12,1818.6970000000001,-1,-1.0,0,1
255,1818,9,13,1818.7,33,7.3,1,1
256,1818,9,14,1818.703,33,7.3,1,1
257,1818,9,15,1818.705,40,8.0,1,1
258,1818,9,16,1818.7079999999999,42,8.2,1,1
259,1818,9,17,1818.711,-1,-1.0,0,1
260,1818,9,18,1818.714,-1,-1.0,0,1
261,1818,9,19,1818.7160000000001,-1,-1.0,0,1
262,1818,9,20,1818.719,30,6.9,1,1
263,1818,9,21,1818.7220000000002,-1,-1.0,0,1
264,1818,9,22,1818.725,-1,-1.0,0,1
265,1818,9,23,1818.727,103,12.9,1,1
266,1818,9,24,1818.73,27,6.5,1,1
267,1818,9,25,1818.733,33,7.3,1,1
268,1818,9,26,1818.736,43,8.3,1,1
269,1818,9,27,1818.7379999999998,-1,-1.0,0,1
270,1818,9,28,1818.741,-1,-1.0,0,1
271,1818,9,29,1818.744,17,5.2,1,1
272,1818,9,30,1818.747,-1,-1.0,0,1
273,1818,10,1,1818.749,17,5.2,1,1
274,1818,10,2,1818.7520000000002,17,5.2,1,1
275,1818,10,3,1818.755,18,5.4,1,1
276,1818,10,4,1818.7579999999998,25,6.3,1,1
277,1818,10,5,1818.76,-1,-1.0,0,1
278,1818,10,6,1818.763,40,8.0,1,1
279,1818,10,7,1818.766,60,9.8,1,1
280,1818,10,8,1818.7679999999998,113,13.5,1,1
281,1818,10,9,1818.771,157,15.9,1,1
282,1818,10,10,1818.774,43,8.3,1,1
283,1818,10,11,1818.777,-1,-1.0,0,1
284,1818,10,12,1818.779,-1,-1.0,0,1
285,1818,10,13,1818.7820000000002,40,8.0,1,1
286,1818,10,14,1818.785,163,16.2,1,1
287,1818,10,15,1818.7879999999998,-1,-1.0,0,1
288,1818,10,16,1818.79,-1,-1.0,0,1
289,1818,10,17,1818.793,108,13.2,1,1
290,1818,10,18,1818.796,32,7.1,1,1
291,1818,10,19,1818.799,18,5.4,1,1
292,1818,10,20,1818.8010000000002,17,5.2,1,1
293,1818,10,21,1818.8039999999999,17,5.2,1,1
294,1818,10,22,1818.807,17,5.2,1,1
295,1818,10,23,1818.81,-1,-1.0,0,1
296,1818,10,24,1818.8120000000001,55,9.4,1,1
297,1818,10,25,1818.815,45,8.5,1,1
298,1818,10,26,1818.818,-1,-1.0,0,1
299,1818,10,27,1818.8210000000001,52,9.1,1,1
300,1818,10,28,1818.8229999999999,50,9.0,1,1
301,1818,10,29,1818.826,57,9.5,1,1
302,1818,10,30,1818.829,-1,-1.0,0,1
303,1818,10,31,1818.832,-1,-1.0,0,1
304,1818,11,1,1818.8339999999998,-1,-1.0,0,1
305,1818,11,2,1818.8370000000002,-1,-1.0,0,1
306,1818,11,3,1818.84,42,8.2,1,1
307,1818,11,4,1818.842,-1,-1.0,0,1
308,1818,11,5,1818.845,17,5.2,1,1
309,1818,11,6,1818.848,-1,-1.0,0,1
310,1818,11,7,1818.851,-1,-1.0,0,1
311,1818,11,8,1818.8529999999998,-1,-1.0,0,1
312,1818,11,9,1818.856,40,8.0,1,1
313,1818,11,10,1818.859,-1,-1.0,0,1
314,1818,11,11,1818.862,-1,-1.0,0,1
315,1818,11,12,1818.864,-1,-1.0,0,1
316,1818,11,13,1818.8670000000002,-1,-1.0,0,1
317,1818,11,14,1818.87,0,2.0,1,1
318,1818,11,15,1818.8729999999998,0,2.0,1,1
319,1818,11,16,1818.875,0,2.0,1,1
320,1818,11,17,1818.878,17,5.2,1,1
321,1818,11,18,1818.881,22,5.9,1,1
322,1818,11,19,1818.884,-1,-1.0,0,1
323,1818,11,20,1818.886,17,5.2,1,1
324,1818,11,21,1818.889,25,6.3,1,1
325,1818,11,22,1818.892,23,6.1,1,1
326,1818,11,23,1818.895,-1,-1.0,0,1
327,1818,11,24,1818.8970000000002,-1,-1.0,0,1
328,1818,11,25,1818.9,17,5.2,1,1
329,1818,11,26,1818.9029999999998,-1,-1.0,0,1
330,1818,11,27,1818.905,-1,-1.0,0,1
331,1818,11,28,1818.908,-1,-1.0,0,1
332,1818,11,29,1818.911,-1,-1.0,0,1
333,1818,11,30,1818.914,-1,-1.0,0,1
334,1818,12,1,1818.9160000000002,-1,-1.0,0,1
335,1818,12,2,1818.9189999999999,-1,-1.0,0,1
336,1818,12,3,1818.922,23,6.1,1,1
337,1818,12,4,1818.925,25,6.3,1,1
338,1818,12,5,1818.9270000000001,25,6.3,1,1
339,1818,12,6,1818.93,0,2.0,1,1
340,1818,12,7,1818.933,-1,-1.0,0,1
341,1818,12,8,1818.9360000000001,-1,-1.0,0,1
342,1818,12,9,1818.9379999999999,-1,-1.0,0,1
343,1818,12,10,1818.941,-1,-1.0,0,1
344,1818,12,11,1818.944,38,7.8,1,1
345,1818,12,12,1818.9470000000001,30,6.9,1,1
346,1818,12,13,1818.9489999999998,-1,-1.0,0,1
347,1818,12,14,1818.9520000000002,-1,-1.0,0,1
348,1818,12,15,1818.955,0,2.0,1,1
349,1818,12,16,1818.9579999999999,-1,-1.0,0,1
350,1818,12,17,1818.96,0,2.0,1,1
351,1818,12,18,1818.963,-1,-1.0,0,1
352,1818,12,19,1818.9660000000001,55,9.4,1,1
353,1818,12,20,1818.9679999999998,-1,-1.0,0,1
354,1818,12,21,1818.971,-1,-1.0,0,1
355,1818,12,22,1818.974,-1,-1.0,0,1
356,1818,12,23,1818.977,83,11.6,1,1
357,1818,12,24,1818.979,105,13.0,1,1
358,1818,12,25,1818.9820000000002,-1,-1.0,0,1
359,1818,12,26,1818.985,-1,-1.0,0,1
360,1818,12,27,1818.9879999999998,107,13.1,1,1
361,1818,12,28,1818.99,-1,-1.0,0,1
362,1818,12,29,1818.993,-1,-1.0,0,1
363,1818,12,30,1818.996,-1,-1.0,0,1
364,1818,12,31,1818.999,68,10.5,1,1
365,1819,1,1,1819.001,68,10.5,1,1
366,1819,1,2,1819.004,-1,-1.0,0,1
367,1819,1,3,1819.007,58,9.7,1,1
368,1819,1,4,1819.01,40,8.0,1,1
369,1819,1,5,1819.0120000000002,70,10.6,1,1
370,1819,1,6,1819.015,-1,-1.0,0,1
371,1819,1,7,1819.0179999999998,55,9.4,1,1
372,1819,1,8,1819.021,-1,-1.0,0,1
373,1819,1,9,1819.023,-1,-1.0,0,1
374,1819,1,10,1819.026,-1,-1.0,0,1
375,1819,1,11,1819.029,-1,-1.0,0,1
376,1819,1,12,1819.0320000000002,88,11.9,1,1
377,1819,1,13,1819.0339999999999,-1,-1.0,0,1
378,1819,1,14,1819.037,-1,-1.0,0,1
379,1819,1,15,1819.04,58,9.7,1,1
380,1819,1,16,1819.0420000000001,58,9.7,1,1
381,1819,1,17,1819.045,-1,-1.0,0,1
382,1819,1,18,1819.0479999999998,27,6.5,1,1
383,1819,1,19,1819.0510000000002,-1,-1.0,0,1
384,1819,1,20,1819.0529999999999,-1,-1.0,0,1
385,1819,1,21,1819.056,-1,-1.0,0,1
386,1819,1,22,1819.059,-1,-1.0,0,1
387,1819,1,23,1819.0620000000001,77,11.1,1,1
388,1819,1,24,1819.0639999999999,-1,-1.0,0,1
389,1819,1,25,1819.067,-1,-1.0,0,1
390,1819,1,26,1819.07,-1,-1.0,0,1
391,1819,1,27,1819.0729999999999,-1,-1.0,0,1
392,1819,1,28,1819.075,20,5.7,1,1
393,1819,1,29,1819.078,37,7.7,1,1
394,1819,1,30,1819.0810000000001,-1,-1.0,0,1
395,1819,1,31,1819.0839999999998,-1,-1.0,0,1
396,1819,2,1,1819.086,17,5.2,1,1
397,1819,2,2,1819.089,-1,-1.0,0,1
398,1819,2,3,1819.092,-1,-1.0,0,1
399,1819,2,4,1819.095,-1,-1.0,0,1
400,1819,2,5,1819.0970000000002,0,2.0,1,1
401,1819,2,6,1819.1,0,2.0,1,1
402,1819,2,7,1819.1029999999998,-1,-1.0,0,1
403,1819,2,8,1819.105,-1,-1.0,0,1
404,1819,2,9,1819.108,-1,-1.0,0,1
405,1819,2,10,1819.111,25,6.3,1,1
406,1819,2,11,1819.114,-1,-1.0,0,1
407,1819,2,12,1819.116,-1,-1.0,0,1
408,1819,2,13,1819.119,57,9.5,1,1
409,1819,2,14,1819.122,-1,-1.0,0,1
410,1819,2,15,1819.125,58,9.7,1,1
411,1819,2,16,1819.1270000000002,-1,-1.0,0,1
412,1819,2,17,1819.13,67,10.3,1,1
413,1819,2,18,1819.1329999999998,-1,-1.0,0,1
414,1819,2,19,1819.136,-1,-1.0,0,1
415,1819,2,20,1819.138,48,8.8,1,1
416,1819,2,21,1819.141,-1,-1.0,0,1
417,1819,2,22,1819.144,-1,-1.0,0,1
418,1819,2,23,1819.1470000000002,-1,-1.0,0,1
419,1819,2,24,1819.149,42,8.2,1,1
420,1819,2,25,1819.152,-1,-1.0,0,1
421,1819,2,26,1819.155,32,7.1,1,1
422,1819,2,27,1819.158,-1,-1.0,0,1
423,1819,2,28,1819.16,-1,-1.0,0,1
424,1819,3,1,1819.1629999999998,-1,-1.0,0,1
425,1819,3,2,1819.1660000000002,22,5.9,1,1
426,1819,3,3,1819.168,-1,-1.0,0,1
427,1819,3,4,1819.171,0,2.0,1,1
428,1819,3,5,1819.174,20,5.7,1,1
429,1819,3,6,1819.1770000000001,-1,-1.0,0,1
430,1819,3,7,1819.1789999999999,0,2.0,1,1
431,1819,3,8,1819.182,0,2.0,1,1
432,1819,3,9,1819.185,0,2.0,1,1
433,1819,3,10,1819.1879999999999,0,2.0,1,1
434,1819,3,11,1819.19,0,2.0,1,1
435,1819,3,12,1819.193,0,2.0,1,1
436,1819,3,13,1819.1960000000001,0,2.0,1,1
437,1819,3,14,1819.1989999999998,0,2.0,1,1
438,1819,3,15,1819.201,0,2.0,1,1
439,1819,3,16,1819.204,0,2.0,1,1
440,1819,3,17,1819.207,0,2.0,1,1
441,1819,3,18,1819.21,0,2.0,1,1
442,1819,3,19,1819.2120000000002,0,2.0,1,1
443,1819,3,20,1819.215,0,2.0,1,1
444,1819,3,21,1819.2179999999998,0,2.0,1,1
445,1819,3,22,1819.221,30,6.9,1,1
446,1819,3,23,1819.223,20,5.7,1,1
447,1819,3,24,1819.226,-1,-1.0,0,1
448,1819,3,25,1819.229,-1,-1.0,0,1
449,1819,3,26,1819.2320000000002,17,5.2,1,1
450,1819,3,27,1819.234,-1,-1.0,0,1
451,1819,3,28,1819.237,-1,-1.0,0,1
452,1819,3,29,1819.24,17,5.2,1,1
453,1819,3,30,1819.2420000000002,-1,-1.0,0,1
454,1819,3,31,1819.245,18,5.4,1,1
455,1819,4,1,1819.2479999999998,17,5.2,1,1
456,1819,4,2,1819.251,-1,-1.0,0,1
457,1819,4,3,1819.253,-1,-1.0,0,1
458,1819,4,4,1819.256,0,2.0,1,1
459,1819,4,5,1819.259,0,2.0,1,1
460,1819,4,6,1819.2620000000002,0,2.0,1,1
461,1819,4,7,1819.264,0,2.0,1,1
462,1819,4,8,1819.267,0,2.0,1,1
463,1819,4,9,1819.27,0,2.0,1,1
464,1819,4,10,1819.273,0,2.0,1,1
465,1819,4,11,1819.275,17,5.2,1,1
466,1819,4,12,1819.2779999999998,20,5.7,1,1
467,1819,4,13,1819.281,28,6.7,1,1
468,1819,4,14,1819.2839999999999,32,7.1,1,1
469,1819,4,15,1819.286,52,9.1,1,1
470,1819,4,16,1819.289,48,8.8,1,1
471,1819,4,17,1819.2920000000001,75,11.0,1,1
472,1819,4,18,1819.295,80,11.3,1,1
473,1819,4,19,1819.297,82,11.4,1,1
474,1819,4,20,1819.3,-1,-1.0,0,1
475,1819,4,21,1819.3029999999999,72,10.7,1,1
476,1819,4,22,1819.305,78,11.2,1,1
477,1819,4,23,1819.308,-1,-1.0,0,1
478,1819,4,24,1819.3110000000001,-1,-1.0,0,1
479,1819,4,25,1819.3139999999999,-1,-1.0,0,1
480,1819,4,26,1819.316,-1,-1.0,0,1
481,1819,4,27,1819.319,23,6.1,1,1
482,1819,4,28,1819.3220000000001,47,8.7,1,1
483,1819,4,29,1819.325,52,9.1,1,1
484,1819,4,30,1819.3270000000002,53,9.3,1,1
485,1819,5,1,1819.33,53,9.3,1,1
486,1819,5,2,1819.3329999999999,30,6.9,1,1
487,1819,5,3,1819.336,17,5.2,1,1
488,1819,5,4,1819.338,0,2.0,1,1
489,1819,5,5,1819.3410000000001,0,2.0,1,1
490,1819,5,6,1819.344,0,2.0,1,1
491,1819,5,7,1819.3470000000002,0,2.0,1,1
492,1819,5,8,1819.349,0,2.0,1,1
493,1819,5,9,1819.352,0,2.0,1,1
494,1819,5,10,1819.355,0,2.0,1,1
495,1819,5,11,1819.358,0,2.0,1,1
496,1819,5,12,1819.36,0,2.0,1,1
497,1819,5,13,1819.3629999999998,0,2.0,1,1
498,1819,5,14,1819.366,0,2.0,1,1
499,1819,5,15,1819.368,28,6.7,1,1
500,1819,5,16,1819.371,42,8.2,1,1
501,1819,5,17,1819.374,43,8.3,1,1
502,1819,5,18,1819.3770000000002,33,7.3,1,1
503,1819,5,19,1819.379,22,5.9,1,1
504,1819,5,20,1819.382,53,9.3,1,1
505,1819,5,21,1819.385,68,10.5,1,1
506,1819,5,22,1819.388,55,9.4,1,1
507,1819,5,23,1819.39,67,10.3,1,1
508,1819,5,24,1819.3929999999998,52,9.1,1,1
509,1819,5,25,1819.396,50,9.0,1,1
510,1819,5,26,1819.399,72,10.7,1,1
511,1819,5,27,1819.401,75,11.0,1,1
512,1819,5,28,1819.404,83,11.6,1,1
513,1819,5,29,1819.4070000000002,67,10.3,1,1
514,1819,5,30,1819.41,58,9.7,1,1
515,1819,5,31,1819.412,43,8.3,1,1
516,1819,6,1,1819.415,30,6.9,1,1
517,1819,6,2,1819.418,22,5.9,1,1
518,1819,6,3,1819.421,28,6.7,1,1
519,1819,6,4,1819.4229999999998,38,7.8,1,1
520,1819,6,5,1819.4260000000002,58,9.7,1,1
521,1819,6,6,1819.4289999999999,58,9.7,1,1
522,1819,6,7,1819.432,-1,-1.0,0,1
523,1819,6,8,1819.434,50,9.0,1,1
524,1819,6,9,1819.4370000000001,22,5.9,1,1
525,1819,6,10,1819.44,28,6.7,1,1
526,1819,6,11,1819.442,75,11.0,1,1
527,1819,6,12,1819.445,-1,-1.0,0,1
528,1819,6,13,1819.4479999999999,47,8.7,1,1
529,1819,6,14,1819.451,48,8.8,1,1
530,1819,6,15,1819.453,73,10.8,1,1
531,1819,6,16,1819.4560000000001,67,10.3,1,1
532,1819,6,17,1819.4589999999998,-1,-1.0,0,1
533,1819,6,18,1819.4620000000002,93,12.2,1,1
